ra,dec,Instrument,Source,SIMBAD_Name,Source_Type
180.79005800000002,44.53133,uvit1, NGC 4051,NGC  4051,Seyfert_1
100.72975,55.474233,uvit1, SU Lyn,V* SU Lyn,LPV*
198.230417,18.169167,uvit2, NGC 5024,Cl* NGC 5024    SAW V61,RRLyr
216.84514199999998,20.09704,uvit1, SDSS J142722.83+200549.4,2MASX J14272281+2005493,Seyfert_2
230.4125,29.125,uvit2, KISSR692/698*,SDSS J152140.04+290720.8,QSO
207.053042,-63.274111,laxpc1, MAXI J1348-630,MAXI J1348-630,Candidate_HMXB
225.5375,29.746111,uvit2, KISSR615,KISS F1500-4625,EmG
208.457083,-17.610556,uvit2, HE 1351-1721,UCAC4 362-065278,Star
128.127208,15.823942,sxt, FR Cnc,V* FR Cnc,BYDra
115.60375,-14.591806,uvit1, OH 231.8 +4.2,Gaia DR2 3029591762195067904,Star
122.81125,25.19306,uvit1, arp82,[KBE97] 5,HI
216.84514199999998,20.09704,uvit1, SDSS J142722.83+200549.4,2MASX J14272281+2005493,Seyfert_2
128.836062,-45.176432,laxpc1, Vela Pulsar,NAME Vela Pulsar,Pulsar
237.321667,21.828332999999997,uvit1, HCG77,LEDA   56125,GinPair
219.620833,33.335278,uvit2, KISSR2407,KISS G1437-3866,EmG
198.230417,18.169167,uvit2, NGC 5024,Cl* NGC 5024    SAW V61,RRLyr
218.475,42.653611,uvit2, KISSR1814*,SDSS J143358.56+423910.3,QSO
216.6375,43.854167,uvit2, KISSR1786,KISS F1424-1399,EmG
188.933333,42.856667,uvit2, KISSR1347*,0.0,0.0
209.649171,37.43889,uvit1, arp84,NOGG P1  754,GroupG
205.54677900000002,28.37545,uvit1, M3,Cl* NGC 5272    DSZ      20,BlueStraggler
204.15977900000001,20.542479999999998,uvit1, SDSS J133638.35+203232.9,2MASS J13363835+2032327,AGN
196.47008300000002,-38.516667,uvit2, HD 113679,HD 113679,PM*
194.300865,28.492365999999997,uvit1, NGC4841Aoffset,GMP 5025,Galaxy
183.913333,36.326944,uvit1, NGC4214,NGC  4228,StarburstG
237.391917,70.348089,laxpc1, Blank Sky-8,0.0,0.0
187.046258,44.09363,uvit1, NGC 4449,[GHG2001]  1,GlCl
154.403417,-46.412471999999994,uvit1, NGC 3201,NGC  3201,GlCl
154.403417,-46.412471999999994,uvit1, NGC 3201,NGC  3201,GlCl
135.528583,-40.554691999999996,laxpc2, Vela X1,V* GP Vel,HMXB
154.10215,37.91277,uvit1, KUG1013+381,LEDA   29998,EmG
250.445208,36.543611,uvit2, NGC 6205,NGC  6205   882,Star
203.974167,-34.295494,uvit1, SWIFT J1335.8-3416,ESO 383-35,Seyfert_1
135.528583,-40.554691999999996,laxpc2, Vela X1,V* GP Vel,HMXB
154.10215,37.91277,uvit1, KUG1013+381,LEDA   29998,EmG
250.445208,36.543611,uvit2, NGC 6205,NGC  6205   882,Star
212.633917,39.819878,uvit1, Target 1,0.0,0.0
195.040167,27.21375,uvit1, Coma1,BD+28  2172,Star
240.181667,31.17075,uvit1, GC50+48,0.0,0.0
212.280829,-45.28781,sxt, V834 Cen,V* V834 Cen,CataclyV*
288.799121,10.946019999999999,laxpc1, GRS 1915+105,Granat 1915+105,HMXB
152.388083,23.382167000000003,uvit1, SDSS J100933+232255,SDSS J100933.13+232255.7,LINER
292.065042,19.555978,sxt, WR 125,MR  93,WR*
170.261979,53.16956999999999,uvit1, NGC 3631,NGC  3631,IG
265.990969,19.585838,sxt, 1ES 1741+196,QSO B1741+196,BLLac
105.048125,-66.040028,uvit1, AT2019ahk,2MASX J07001137-6602251,Galaxy
255.203683,-41.655961,laxpc1, OAO 1657-415,NAME OAO 1657-41,HMXB
254.757,-15.257981,laxpc1, MAXI J1659-152,MAXI J1659-152,LMXB
267.383083,-28.134944,laxpc1, Swift J1749.4-2807,2XMM J174931.6-280805,LMXB
143.042121,21.50083,uvit1, NGC 2903,NGC  2905,HII_G
160.990421,11.70381,uvit2, NGC 3351,M  95,GinPair
262.082921,-14.26556,sxt, PDS 456,[YAZ2019] X1,Radio
314.69807099999997,41.776994,laxpc2, GRO J2058+42,GRO J2058+42,HMXB
262.082921,-14.26556,sxt, PDS 456,[YAZ2019] X1,Radio
247.46266699999998,39.766528,uvit2,UGC10420,UGC 10420,LINER
235.879167,44.0525,uvit2,KISSR2010,KISS F1541-1297,EmG
252.320833,59.919167,uvit1,draco_f1,IRAS F16485+6000,IR
237.391917,70.348089,laxpc1,Blank Sky-8,0.0,0.0
194.49879199999998,27.995972,uvit1,Coma6,LEDA   83707,GinCl
249.432875,29.727694,uvit1,GC50+40,0.0,0.0
253.467571,39.760169,sxt,Mrk 501,4C 39.49,BLLac
105.048083,-66.040028,uvit1,AT2019ahk,2MASX J07001137-6602251,Galaxy
166.113808,38.20883,sxt,Mrk421,Mrk  421,BLLac
246.608292,-72.268861,uvit1,NGC 6101,TYC 9282-2284-1,Star
233.738558,23.50314,uvit1,arp220,[SED98] APG 220NE,PartofG
195.839542,-62.223943999999996,uvit1,PDS 361S,IRAS 13002-6157,Candidate_Ae*
154.10215,37.91277,uvit1,KUG1013+381,LEDA   29998,EmG
12.08,85.223917,uvit1,NGC 188,Cl* NGC  188    DGV     702,Star
246.608292,-72.268861,uvit1,NGC 6101,TYC 9282-2284-1,Star
233.738558,23.50314,uvit1,arp220,[SED98] APG 220NE,PartofG
195.839542,-62.223943999999996,uvit1,PDS 361S,IRAS 13002-6157,Candidate_Ae*
192.7215,41.1202,uvit1,NGC 4736,M  94,Seyfert
308.107417,40.95775,sxt,Cyg X-3,V* V1521 Cyg,HMXB
180.472079,-18.87694,uvit1,arp244,CXOU J120153.3-185235,HMXB
309.78825,-30.755583,uvit1,2MASX J20390918-3045201,2MASX J20390918-3045201,Galaxy
251.44875,-45.611111,laxpc2,GX 340+0,4U 1642-45,LMXB
179.3668,-19.62406,uvit1,ISZ59,ESO 572-25,Galaxy
340.611792,-50.066917,uvit2,HE 2239-5019,HE 2239-5019,Pec*
270.38457900000003,-20.52889,sxt,GX 9+1,X Sgr X-3,LMXB
262.991671,-33.83528,laxpc1,4U 1728-34,NAME Gri 1,GlCl
264.742921,-44.45,laxpc1,4U 1735-44,V* V926 Sco,LMXB
220.530833,35.439721999999996,sxt,Mkn 478,Mrk  478,Seyfert_1
207.0535,-63.274611,laxpc1,MAXI J1348-630,MAXI J1348-630,Candidate_HMXB
275.091167,7.185639,uvit2,MAXI J1820+070,MAXI J1820+070,LMXB
332.88072900000003,18.092822,uvit1,BD+17 4708,BD+17  4708,SB*
341.835079,-65.05872,uvit1,IC 5250,IC 5250,IG
275.091417,7.1853,laxpc1,MAXI J1820+070,MAXI J1820+070,LMXB
194.28591699999998,28.362416999999997,uvit1,Coma3,[YKK2016] 684,LSB_G
185.0625,25.5,uvit1,AGC 229101 (originally T0,0.0,0.0
189.136292,11.258,uvit1,ngc4567,NGC  4567,GinPair
287.442079,-63.857530000000004,uvit1,NGC 6744,NGC  6744,GinGroup
288.798125,10.945767,sxt,GRS 1915+105,Granat 1915+105,HMXB
141.513721,12.73434,uvit2,Mrk 705,Mrk  705,Seyfert_1
310.307792,-38.19342,uvit1,ESO341-IG004,ESO 341-4,IG
305.74902099999997,-44.27153,uvit1,NGC 6902A,LEDA   64576,Galaxy
304.23875,-70.75833,uvit1,VV 297,[BHK2005] 275,GlCl
186.453592,33.546929999999996,uvit1,NGC 4395,[BKD2008] WR 469,PartofG
185.0625,25.5,uvit1,AGC 229101 (originally T0,0.0,0.0
287.442079,-63.857530000000004,uvit1,NGC 6744,NGC  6744,GinGroup
274.65666699999997,-52.215778,uvit1,NGC 6584,NGC  6584,GlCl
332.880708,18.092833,uvit2,BD+17 4708,BD+17  4708,SB*
270.38457900000003,-20.52889,sxt,GX 9+1,X Sgr X-3,LMXB
341.835079,-65.05872,uvit1,IC 5250,IC 5250,IG
197.175,44.098333000000004,uvit2,KISSR1462,KISS F1308-3035,EmG
211.18010800000002,54.892630000000004,uvit1,NGC5473,NGC  5473,GinGroup
201.245833,-43.126111,uvit1,CenA south middle lobe,[WRW2015] 1618,PN?
12.08,85.223917,uvit1,NGC 188,Cl* NGC  188    DGV     702,Star
237.391917,70.348089,laxpc1,Blank Sky-8,0.0,0.0
237.391917,70.348089,laxpc1,Blank Sky-8,0.0,0.0
236.5125,-37.786417,uvit1,NGC 5986,NGC  5986,GlCl
288.798121,10.945766,sxt,V1487 Aql,Granat 1915+105,HMXB
329.71693799999997,-30.225588000000002,sxt,PKS 2155-304,QSO B2155-304,BLLac
220.530833,35.439721999999996,sxt,Mkn 478,Mrk  478,Seyfert_1
251.44875,-45.611111,laxpc2,GX 340+0,4U 1642-45,LMXB
359.782958,-30.627969,sxt,1H 2354-315,QSO B2356-309,BLLac
265.990969,19.585838,sxt,1ES 1741+196,QSO B1741+196,BLLac
255.203683,-41.655961,laxpc1,OAO 1657-415,NAME OAO 1657-41,HMXB
346.181158,-8.68573,sxt,MCG-2-58-22,Mrk  926,Seyfert_1
135.528583,-40.554694,laxpc1,Vela X-1,V* GP Vel,HMXB
128.836062,-45.176432,laxpc1,Vela Pulsar,NAME Vela Pulsar,Pulsar
12.08,85.223917,uvit1,NGC 188,Cl* NGC  188    DGV     702,Star
186.22625,21.382278,sxt,PKS 1222+216,4C 21.35,QSO
346.181158,-8.68573,sxt,MCG-2-58-22,Mrk  926,Seyfert_1
192.7215,41.1202,uvit1,NGC 4736,M  94,Seyfert
194.300865,28.492365999999997,uvit1,NGC4841Aoffset,GMP 5025,Galaxy
194.49879199999998,27.995972,uvit1,Coma6,LEDA   83707,GinCl
195.040167,27.21375,uvit1,Coma1,BD+28  2172,Star
211.18010800000002,54.892630000000004,uvit1,NGC5473,NGC  5473,GinGroup
199.728371,-21.03911,uvit2,NGC 5068,NGC  5068,Galaxy
312.258667,30.404971999999997,uvit1,NGC 6960-IV,0.0,0.0
250.445208,36.543611,uvit2,NGC 6205,NGC  6205   882,Star
240.181667,31.17075,uvit1,GC50+48,0.0,0.0
251.44875,-45.611111,laxpc2,GX 340+0,4U 1642-45,LMXB
36.820329,33.57917,uvit1,NGC 0925,NAME NGC 925 Group,GroupG
236.5125,-37.786417,uvit1,NGC 5986,NGC  5986,GlCl
252.320833,59.919167,uvit1,draco_f1,IRAS F16485+6000,IR
244.28970800000002,-51.882556,uvit1,PN Mz 3,Gaia DR2 5934728536316842624,Candidate_YSO
194.421042,20.39661,uvit1,SDSS J125741.05+202347.8,IC 3929,Seyfert_1
258.385917,-37.023333,uvit1,NGC 6302,0.0,0.0
287.442079,-63.857530000000004,uvit2,NGC 6744,NGC  6744,GinGroup
262.991671,-33.83528,laxpc1,4U 1728-34,NAME Gri 1,GlCl
203.974167,-34.295494,uvit1,SWIFT J1335.8-3416,ESO 383-35,Seyfert_1
326.171475,38.321407,laxpc2,Cyg X-2,V* V1341 Cyg,LMXB
247.46266699999998,39.766528,uvit2,UGC10420,UGC 10420,LINER
304.23875,-70.75833,uvit1,VV 297,[BHK2005] 275,GlCl
201.245833,-43.126111,uvit1,CenA south middle lobe,[WRW2015] 1618,PN?
237.391917,70.348089,laxpc1,Blank Sky-8,0.0,0.0
251.44875,-45.611111,laxpc2,GX 340+0,4U 1642-45,LMXB
338.139167,11.720278,sxt,CTA 102,2MASS J22323284+1142441,Star
256.563808,-43.035747,laxpc2,4U 1702-429,X Ara X-1,LMXB
237.391917,70.348089,laxpc1,Blank Sky-8,0.0,0.0
246.608292,-72.268861,uvit1,NGC 6101,TYC 9282-2284-1,Star
195.839542,-62.223943999999996,uvit1,PDS 361S,IRAS 13002-6157,Candidate_Ae*
216.000333,31.568361,uvit1,GC50+69,0.0,0.0
272.11475,-36.978972,laxpc2,SAX J1808-3658,V* V4580 Sgr,LMXB
288.717,17.367,laxpc2,Unknown,[NHO98] 19127+1717,Maser
250.445208,36.543611,uvit2,NGC 6205,NGC  6205   882,Star
274.65666699999997,-52.215778,uvit1,NGC 6584,NGC  6584,GlCl
270.290542,-25.078925,laxpc2,GX 5-1,4U 1758-25,LMXB
85.127083,69.37844399999999,uvit1,NGC 1961,0.0,0.0
305.74902099999997,-44.27153,uvit1,NGC 6902A,LEDA   64576,Galaxy
